Headline,Link
"MSN India | Breaking News, Entertainment ...",/url?q=https://www.msn.com/en-in&sa=U&ved=2ahUKEwjP5_DH5bToAhUScCsKHcX0CoYQFjAAegQIBxAB&usg=AOvVaw2iKgV1iryQ4b6xBuEIBa5A
"MSN | Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",/url?q=https://www.msn.com/en-in/news/india&sa=U&ved=2ahUKEwjP5_DH5bToAhUScCsKHcX0CoYQjBAwAXoECAcQAw&usg=AOvVaw3V4LMUYaBScDXZF3GTV3Zt
MSN - Wikipedia,/url?q=https://www.msn.com/en-in/news&sa=U&ved=2ahUKEwjP5_DH5bToAhUScCsKHcX0CoYQjBAwAnoECAcQBQ&usg=AOvVaw3y84TUVu_jC6dGQ7DGLXnl
MSN - India Today,/url?q=https://www.msn.com/en-in/news/world&sa=U&ved=2ahUKEwjP5_DH5bToAhUScCsKHcX0CoYQjBAwA3oECAcQBw&usg=AOvVaw08KmhZ9oOGF9Sm5mlYEzOg
"MSN: Latest News, Videos and Photos of MSN | Times of India",/url?q=https://www.msn.com/en-in/entertainment/bollywood&sa=U&ved=2ahUKEwjP5_DH5bToAhUScCsKHcX0CoYQjBAwBHoECAcQCQ&usg=AOvVaw3oyKWzGki6GZyiPOTezuDC
"MSN: Latest News & Videos, Photos about MSN | The Economic Times",/url?q=https://www.msn.com/en-in/news/newsindia/live-news-coverage-from-india-today-television/ar-AAmNIGL&sa=U&ved=2ahUKEwjP5_DH5bToAhUScCsKHcX0CoYQjBAwBXoECAcQCw&usg=AOvVaw2WHJ0tT0oZ0aonMSzQXGkU
