Headline,Link
Article 370 of the Constitution of India - Wikipedia,/url?q=https://en.wikipedia.org/wiki/Article_370_of_the_Constitution_of_India&sa=U&ved=2ahUKEwjZ_MXt5bToAhVJ8HMBHQ5SDWwQFnoECAMQAg&usg=AOvVaw3HH70FizU7spQdVxmJfROr
Article 370: What happened with Kashmir and why it matters - BBC ...,/url?q=https://en.wikipedia.org/wiki/Article_370_of_the_Constitution_of_India&sa=U&ved=2ahUKEwjZ_MXt5bToAhVJ8HMBHQ5SDWwQmhMwDHoECBQQDQ&usg=AOvVaw3TTqDB5o1xVdU6n_p7YDro
"What is Article 370, Article 370 News, Article 370 Provisions, History",/url?q=https://www.bbc.com/news/world-asia-india-49234708&sa=U&ved=2ahUKEwjZ_MXt5bToAhVJ8HMBHQ5SDWwQFjAWegQICRAB&usg=AOvVaw2oXORJ8ohCLkfXp-5jH0hn
Article 370 in The Constitution Of India 1949 - Indian Kanoon,/url?q=https://www.business-standard.com/about/what-is-article-370&sa=U&ved=2ahUKEwjZ_MXt5bToAhVJ8HMBHQ5SDWwQFjAfegQIDhAB&usg=AOvVaw0U7rZH3vnT5jXYUaykQq3q
Kashmir special status explained: What are Articles 370 and 35A ...,/url?q=https://indiankanoon.org/doc/666119/&sa=U&ved=2ahUKEwjZ_MXt5bToAhVJ8HMBHQ5SDWwQFjAgegQIBBAB&usg=AOvVaw3tRFmcPSwMA8JHS93diTRz
"article 370: Latest News, Videos and article 370 Photos | Times of ...",/url?q=https://www.aljazeera.com/news/2019/08/kashmir-special-status-explained-articles-370-35a-190805054643431.html&sa=U&ved=2ahUKEwjZ_MXt5bToAhVJ8HMBHQ5SDWwQtwIwIXoECBMQAQ&usg=AOvVaw2o1Xz-LFUyOD7qTWoAQE9A
