Headline,Link
Coronavirus (COVID-19) events as they happen,/url?q=https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public&sa=U&ved=2ahUKEwjQu9yP5rToAhVJ7XMBHd75CxkQ9f4BMAx6BAgKEAU&usg=AOvVaw2hQl0sK76dbVjRwGj_Uo5U
COVID-19 | MyGov.in,/url?q=https://en.wikipedia.org/wiki/2019%25E2%2580%259320_coronavirus_pandemic&sa=U&ved=2ahUKEwjQu9yP5rToAhVJ7XMBHd75CxkQhe8BMA16BAgMEAI&usg=AOvVaw2tUVGSzp1AZq5hTUC3k1EL
covid 19 india news: What India must do to break the Covid-19 chain ...,/url?q=https://www.who.int/emergencies/diseases/novel-coronavirus-2019/events-as-they-happen&sa=U&ved=2ahUKEwjQu9yP5rToAhVJ7XMBHd75CxkQFjAOegQIBRAB&usg=AOvVaw2KttQtF49Ckh5Dej04ih_e
News about #covid19 on Twitter,/url?q=https://mygov.in/covid-19/&sa=U&ved=2ahUKEwjQu9yP5rToAhVJ7XMBHd75CxkQFjAPegQIBBAB&usg=AOvVaw3z7nvad7hMjJgxNPkWf-jW
Coronavirus disease 2019 - Wikipedia,/url?q=https://economictimes.indiatimes.com/news/politics-and-nation/what-india-must-do-to-break-the-covid-19-chain/articleshow/74802153.cms&sa=U&ved=2ahUKEwjQu9yP5rToAhVJ7XMBHd75CxkQFjAQegQICBAB&usg=AOvVaw1fdSTV99YPWCA_BGb4KFNF
COVID-19 Resource Centre - The Lancet,/url?q=https://twitter.com/hashtag/covid19&sa=U&ved=2ahUKEwjQu9yP5rToAhVJ7XMBHd75CxkQFjARegQIBxAB&usg=AOvVaw1Im0gRTw8q293nN1DHG1v6
